2024-9-25 22:59:08-log: Cannot access game frame or container.
2024-9-25 22:59:09-debug: asset-db:require-engine-code (1685ms)
2024-9-25 22:59:10-log: meshopt wasm decoder initialized
2024-9-25 22:59:10-log: [box2d]:box2d wasm lib loaded.
2024-9-25 22:59:10-log: [bullet]:bullet wasm lib loaded.
2024-9-25 22:59:10-log: Cocos Creator v3.8.3
2024-9-25 22:59:10-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:26.10MB, end 77.70MB, increase: 51.60MB
2024-9-25 22:59:10-debug: [Assets Memory track]: asset-db-plugin-register: programming start:78.57MB, end 82.12MB, increase: 3.56MB
2024-9-25 22:59:12-debug: [Assets Memory track]: asset-db-plugin-register: builder start:82.14MB, end 204.93MB, increase: 122.79MB
2024-9-25 22:59:12-debug: [Assets Memory track]: asset-db-plugin-register: project start:78.44MB, end 208.47MB, increase: 130.03MB
2024-9-25 22:59:12-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:77.71MB, end 208.49MB, increase: 130.78MB
2024-9-25 22:59:12-debug: [Assets Memory track]: asset-db-plugin-register: engine-extends start:205.16MB, end 208.40MB, increase: 3.25MB
2024-9-25 22:59:12-debug: asset-db:worker-init: initPlugin (2299ms)
2024-9-25 22:59:12-debug: [Assets Memory track]: asset-db:worker-init start:26.09MB, end 203.41MB, increase: 177.32MB
2024-9-25 22:59:12-debug: Run asset db hook programming:beforePreStart success!
2024-9-25 22:59:12-debug: Run asset db hook programming:beforePreStart ...
2024-9-25 22:59:12-debug: Run asset db hook engine-extends:beforePreStart ...
2024-9-25 22:59:12-debug: Run asset db hook engine-extends:beforePreStart success!
2024-9-25 22:59:13-debug: asset-db:worker-init (5216ms)
2024-9-25 22:59:13-debug: asset-db-hook-programming-beforePreStart (338ms)
2024-9-25 22:59:13-debug: asset-db-hook-engine-extends-beforePreStart (337ms)
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\animationbackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\enumsbackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\basebackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: Preimport db internal success
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\runtimebackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\resourcesbackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\scenesbackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\levelsbackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\scriptsbackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\utilsbackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\resources\texturebackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\scripts\playerbackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\scripts\scenesbackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\scripts\tilebackground: #aaff85; color: #000;color: #000;
2024-9-25 22:59:13-debug: %cImport%c: E:\git\Cramped_Room_Of_Death\assets\scripts\uibackground: #aaff85; color: #000;color: #000;
